Date, SB,#, Scenario Description, Pre- Condition,Expected Results, Test Step ,Test data, User Role / Profile, Tester,Result,Comments,Remarks,Screenshots
,,TC-070,"To verify Discount code ""Apply"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicing on the ""Apply"" button, it should be applicable and subtract from the amount balance to pay.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Paypal"" option.
13. Enter the valid discount code.
14. Click on the ""Apply"" button.",,,Shivam,,,,
,,TC-071,To verify Valid Payment from Credit Card.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Payment process should be successful and confirmation page should be displayed with transaction details.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.
14. Enter valid credit card details.
15. Click on the ""Pay"" button with selected amount.",,,Shivam,,,,
,,TC-072,To verify invalid Credit Card number.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering Invalid credit card number should show an error message ""We currently support only Visa or Mastercard for this transaction"" and field should be highlighted in red color.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.
14. Enter invalid credit card number.",,,Shivam,,,,
,,TC-073,To verify Expired Card.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Error message should be displayed: ""Enter valid expiry date"" and field should be highlighted in red color..","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.
14. Enter valid credit card number.
15. Enter invalid expiry date",,,Shivam,,,,
,,TC-074,To verify invalid CVV,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Invalid CVV should show error message ""Enter valid CVV"".","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.
14. Enter valid credit card number.
15. Enter valid expiry date.
16. Enter invalid CVV.",,,Shivam,,,,
,,TC-075,To verify Name on Card left empty.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Empty field should show an error message ""Enter card holder name"".","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.
14. Enter valid credit card number.
15. Enter valid expiry date.
16. Enter valid CVV.
17. Enter valid Card holder name.",,,Shivam,,,,
,,TC-076,"To verify ""Proceed"" button is enable.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Filling all the fields with valid inputs, ""Proceed"" button should be enabled to click for completing the transaction process.  ","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Tazapay"" option.
13. Click on the ""Next"" button.
14. Enter valid credit card number.
15. Enter valid expiry date.
16. Enter valid CVV.
17. Enter valid Card holder name.
18. Verify the ""Proceed"" button is enable.",,,Shivam,,,,
,,TC-077,To verify popup message display.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should show an popup message for the Important instruction.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Verify the popup message appears.",,,Shivam,,,,
,,TC-078,"To verify popup message ""OK' button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Ök"" button, it shhould navigate to ""Custom Payout"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.",,,Shivam,,,,
,,TC-079,To verify custom payout tab showing the selected amount.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Custom payout tab should show the correct selected amount and currency sign.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.
15. Verify the amount displayed in tab.",,,Shivam,,,,
,,TC-080,"To verify Confirmo page ""Search"" field.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Search field is accepting valid input, it should show the Cryptocurrency result for same.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.
15. Enter the valid input.",,,Shivam,,,,
,,TC-081,To verify selected Cryptocurrency option.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".
2.Cryptocurrency Account.","Selecting the Cryptocurrency, it should show the options for selecting the network to the cryptocurrency.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.
15. Enter the valid input.
16. Select the Crptocurrency type/ category.
",,,Shivam,,,,
,,TC-082,To verify Transaction QR code.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".
2.Cryptocurrency Account.","Scanning the QR code for the transaction, it should detect the exact amount selected by the user and covert the smae into selected the cryptocurrency.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.
15. Enter the valid input.
16. Select the Crptocurrency type/ category.
17.Verify the QR code by scanning.",,,Shivam,,,,
,,TC-083,"To verify ""Pay from Wallet"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".
2.Cryptocurrency Account.","Clicking on the ""Pay from Wallet"" button, it should navigate to user's account wallet page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.
15. Enter the valid input.
16. Select the Crptocurrency type/ category.
17. Click on the ""Pay from Wallet"" button.",,,Shivam,,,,
,,TC-084,To verify transaction time limit.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".
2.Cryptocurrency Account.",Transaction for the amount should be done successfully in the mentioned time shown on bottom of invoice iframe.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Confirmo"" option.
13. Click on the ""Next"" button.
14. Click on the ""Ok"" button.
15. Enter the valid input.
16. Select the Crptocurrency type/ category.
17. See the time limit for successful transaction.",,,Shivam,,,,
,,TC-085,"To verify Payment Gateway ""Ecompay"" option.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the ""Ecompay"" option, it should be highlighted and ""Radio"" button should be checked.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.",,,Shivam,,,,
,,TC-086,"To verify Payment Gateway ""Next"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Next"" button, it should navigate to Ecompay payment page for transaction.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.
13. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-087,"To verify Payment Page ""Card Payments"" field is functional.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Card Payments"" field, it should redirect to iframe for ""Enter Payment Details"".","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.
13. Click on the ""Next"" button.
14. Enter the input in the ""Card Number"" field.",,,Shivam,,,,
,,TC-088,"To verify Payment Details page ""Back"" icon button is functional.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Back"" icon button,, it should go back to the previous page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.
13. Click on the ""Next"" button.
14. Click on the ""Back"" icon button.",,,Shivam,,,,
,,TC-089,"To verify ""Cart"" icon button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Cart"" icon button, it should display the payment information. ","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.
13. Click on the ""Next"" button.
14. Click on the ""Cart"" icon button.",,,Shivam,,,,
,,TC-090,"To verify Payment Details ""Card Details"" fields.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","All the fields or atleast one field is left empty, it should show an error message that fields below them.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.
13. Click on the ""Next"" button.
14. Keep all the fields empty and verify error message.",,,Shivam,,,,
,,TC-091,"To verify ""Pay"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Pay"" button, it should navigate to Trasaction successful/ Thank You page. ","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Ecompay"" option.
13. Click on the ""Next"" button.
14. Fill all the fields with valid input.
15. Click on the ""Pay"" button.",,,Shivam,,,,
,,TC-092,"To verify ""Korapay"" payment option.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Selecting the Korapay and click ""Next"" button, it should ""Choose Payment Method"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay option.
13. Click on the ""Next"" button.",,,Shivam,,,,
,,TC-093,To verify valid discount code.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Entering valid discount code which will be getting from the social media channels should be applicable for as per offer discount amount.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Enter the valid discount code.",,,Shivam,,,,
,,TC-094,"To verify Discount code ""Apply"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Apply"" button, it should be applicable and subtract from the amount balance to pay.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Enter the valid discount code.
15. Click on the ""Apply"" button.",,,Shivam,,,,
,,TC-095,"To verify ""Pay with Debit Card"" method.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on ""Pay with Debit Card"" method, it should be navigate ""Payment Details"" page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Click on the ""Pay with Debit Card"" option.",,,Shivam,,,,
,,TC-096,To verify debit card details page amount.,"1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".",Amount displayed on the page shoud same as the user selected for amount balance.,"1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Verify the amount is same.",,,Shivam,,,,
,,TC-097,"To verify valid ""Card Number'.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering the valid and correct input in field, it should accept it without any error message.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the valid card number in the field.",,,Shivam,,,,
,,TC-098,"To verify invalid ""Card Number'.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering the invalid and correct input in field, it should not accept and show an error message.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the invalid card number in the field and verify the error message appears.",,,Shivam,,,,
,,TC-099,"To verify valid ""Expiry Date'.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering the valid and correct input in field, it should accept it without any error message.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the valid expiry date in the field.",,,Shivam,,,,
,,TC-100,"To verify invalid ""Expiry Date'.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering the invalid input in field, it should display an error message.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the invalid expiry date in the field.",,,Shivam,,,,
,,TC-101,"To verify valid ""CVV'.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering the valid and correct input in field, it should accept it without any error message.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the valid ""CVV"" in the field.",,,Shivam,,,,
,,TC-102,"To verify invalid ""CVV"".","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Entering the invalid input in field, it should display an error message.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the invalid ""CVV"" in the field.",,,Shivam,,,,
,,TC-103,"To verify ""Pay"" button.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Pay"" button, it should navigate to Transaction successful or Thank You page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Debit Card"" option.
15. Enter the valid debit card details.
16. Click on the ""Pay"" button.",,,Shivam,,,,
,,TC-104,"To verify ""Pay with Bank Transfer"" option.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Pay with Bank Transfer"" option, it should navigate to Confirmation page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with bank Transfer"" option.",,,Shivam,,,,
,,TC-105,"To verify ""Tap to copy amount"" button .","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Tap to copy amount"" button, it should copy the amount displayed on the page. ","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Bank Transfer"".
15. Click on the ""Tap to copy amount"" button.",,,Shivam,,,,
,,TC-106,"To verify Confirmation page ""Checkbox"".","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Checkbox"", it shoud be checked and ""Continue"" button should be enabled.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Bank Transfer"".
15. Click on the ""Checkbox"" and verify the ""Continue"" button is enable.",,,Shivam,,,,
,,TC-107,"To verify Confirmation page ""Continue"" button is functional.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Continue"" button, it should display the Bank Account details for Transaction. ","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Bank Transfer"".
15. Click on the ""Checkbox"".
16. Click on the ""Continue"".",,,Shivam,,,,
,,TC-108,"To verify ""Pay with Bank"" option.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Clicking on the ""Pay with Bank"" option, it should navigate to Confirmation page.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Bank"" option.",,,Shivam,,,,
,,TC-109,"To verify Pay with Bank ""Search"" field.","1. User should logged in and navigate to the dashboard page URL ""https://app.nostro.co/dashboard "".","Search the correct Bank name, it should display in the matching results.","1. Open the dashboard page.
2. Click on the ""New Challenge"" option.
3. Click on the ""START YOUR CHALLENGE"" button.
4. Select the Single option.
5. Select the Account Balance.
6. Click on the ""Next"" button.
7. Select the ""Account Type"".
8. Click on the ""Next"" button.
9. Enter the valid inputs in all the fields.
10. Select the Country from dropdown list.
11. Click on the ""Next"" button.
12. Select the ""Korapay"" option.
13. Click on the ""Next"" button.
14. Select the ""Pay with Bank"" option.
15. Enter the Bank in the Search field.",,,Shivam,,,,
